maingroup,mg_def
A21C13,"MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS - Provers, i.e. apparatus permitting dough to rise "
A21C14,"MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS - Machines or equipment for making or processing dough, not provided for in other groups of this subclass"
A21C15,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS - Apparatus for handling baked articles
A21D2,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS - Treatment of flour or dough by adding materials thereto "
A21D4,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS - Preserving flour or dough before baking by storage in an inert atmosphere"
A21D6,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS - Other treatment of flour or dough before baking, e.g. cooling, irradiating, heating"
A21D8,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS - Methods for preparing dough or for baking "
A21D10,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS - Batters, dough or mixtures before baking"
A21D13,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS - Finished or partly finished bakery products"
A21D15,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS - Preserving finished "
A21D17,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS - Refreshing bakery products "
A22B1,SLAUGHTERING - Apparatus for fettering animals to be slaughtered
A22B3,SLAUGHTERING - Slaughtering or stunning 
A22B5,SLAUGHTERING - Accessories for use during or after slaughtering
A22B7,SLAUGHTERING - Slaughterhouse arrangements
A22C5,"PROCESSING MEAT, POULTRY, OR FISH  - Apparatus for mixing meat, sausage-meat, or meat products "
A22C7,"PROCESSING MEAT, POULTRY, OR FISH  - Apparatus for pounding, forming, or pressing meat, sausage-meat, or meat products "
A22C9,"PROCESSING MEAT, POULTRY, OR FISH  - Apparatus for tenderising meat, e.g. ham "
A22C11,"PROCESSING MEAT, POULTRY, OR FISH  - Sausage making "
A22C13,"PROCESSING MEAT, POULTRY, OR FISH  - Sausage casings "
A22C15,"PROCESSING MEAT, POULTRY, OR FISH  - Apparatus for hanging-up meat or sausages "
A22C17,"PROCESSING MEAT, POULTRY, OR FISH  - Other devices for processing meat or bones"
A22C18,"PROCESSING MEAT, POULTRY, OR FISH  - Plants, factories, or the like for processing meat "
A22C21,"PROCESSING MEAT, POULTRY, OR FISH  - Processing poultry"
A22C25,"PROCESSING MEAT, POULTRY, OR FISH  - Processing fish; "
